,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
0,Маршрутная,False,15,56,0,False,8,True,31,409,10,34,0.9333947
1,квитанция,False,15,56,0,False,8,True,102,345,9,34,-0.8010629
2,ELECTRONIC,False,18,18,0,False,VYZJEZ+Verdana,True,164,116,10,10,0.13578817
3,TICKET,False,141,18,11,False,VYZJEZ+Verdana,True,164,66,17,10,0.33392555
4,/,False,213,18,18,False,VYZJEZ+Verdana,True,164,8,19,10,-0.14674962
5,ITINERARY,False,228,18,20,False,VYZJEZ+Verdana,True,164,99,29,10,-0.44551462
6,RECEIPT,False,333,18,30,False,VYZJEZ+Verdana,True,164,77,37,10,0.7050859
7,Данныеполета,False,18,24,0,False,8,True,216,212,12,14,0.54160404
8,ПАССАЖИР,False,17,18,0,False,MRVXFA+Verdana,True,270,105,8,10,-0.9001568
9,Zubov,False,17,18,0,True,DJBDJJ+Verdana-Bold,False,292,61,5,10,-0.22836049
10,Anton,False,85,18,6,True,DJBDJJ+Verdana-Bold,False,292,60,11,10,-0.6834975
11,НОМЕР,False,598,24,0,False,VYZJEZ+Verdana,True,55,86,5,14,0.10637748
12,ВАШЕГО,False,693,24,6,False,MRVXFA+Verdana,True,55,105,12,14,-0.048410427
13,БИЛЕТА:,False,807,24,13,False,VYZJEZ+Verdana,True,55,109,20,14,0.626286
14,9329498821,False,598,24,0,True,DJBDJJ+Verdana-Bold,False,85,170,10,14,-0.6441794
15,НОМЕР,False,598,24,0,False,VYZJEZ+Verdana,True,115,86,5,14,0.10637748
16,БРОНИРОВАНИЯ:,False,693,24,6,False,VYZJEZ+Verdana,True,115,215,19,14,-0.70978683
17,CZ3B12,False,598,24,0,True,DJBDJJ+Verdana-Bold,False,145,103,6,14,-0.05399036
18,Информацияомаршруте,False,18,24,0,False,8,True,340,351,19,14,0.9973667
19,РЕЙСЫ,False,17,18,0,False,MRVXFA+Verdana,True,394,64,5,10,0.7809893
20,Рейс,False,17,18,0,True,DJBDJJ+Verdana-Bold,False,416,48,4,10,-0.09979374
21,LB-12,False,72,18,5,False,MRVXFA+Verdana,True,416,59,10,10,0.47483364
22,Эконом,False,138,18,11,False,MRVXFA+Verdana,True,416,69,17,10,0.057060227
23,САМОЛЕТ,False,17,18,0,False,MRVXFA+Verdana,True,461,89,7,10,-0.63600755
24,Victory,False,17,18,0,False,VYZJEZ+Verdana,True,484,62,7,10,-0.6401148
25,D013,False,87,18,8,False,VYZJEZ+Verdana,True,484,48,12,10,0.67375356
26,БАГАЖ,False,17,18,0,False,MRVXFA+Verdana,True,529,64,5,10,0.7199661
27,1,False,17,18,0,False,MRVXFA+Verdana,True,551,11,1,10,0.6895094
28,место,False,35,18,2,False,VYZJEZ+Verdana,True,551,52,7,10,-0.3450517
29,5,False,94,18,8,False,MRVXFA+Verdana,True,551,11,9,10,0.49688056
30,кг,False,112,18,10,False,MRVXFA+Verdana,True,551,19,12,10,0.57011974
31,ВЫЛЕТ,False,302,18,0,False,MRVXFA+Verdana,True,393,64,5,10,0.9740496
32,Мумбаи,False,302,18,0,False,MRVXFA+Verdana,True,416,71,6,10,0.64533025
33,15:15,False,302,18,0,True,DJBDJJ+Verdana-Bold,False,438,58,5,10,0.57140416
34,13октября,False,366,18,6,True,DJBDJJ+Verdana-Bold,False,438,115,15,10,0.90702355
35,2023,False,488,18,16,True,DJBDJJ+Verdana-Bold,False,438,51,20,10,-0.43338433
36,а/п,False,302,18,0,False,VYZJEZ+Verdana,True,461,30,3,10,0.5650457
37,Мумбаи,False,339,18,4,False,VYZJEZ+Verdana,True,461,71,10,10,0.64533025
38,MBI,False,417,18,11,False,VYZJEZ+Verdana,True,461,35,14,10,-0.84835935
39,Терминал,False,302,18,0,False,VYZJEZ+Verdana,True,483,90,8,10,0.0582532
40,D,False,399,18,9,False,VYZJEZ+Verdana,True,483,13,10,10,-0.88777155
41,ПРИБЫТИЕ,False,739,18,0,False,MRVXFA+Verdana,True,394,102,8,10,-0.31172508
42,Каир,False,739,18,0,False,MRVXFA+Verdana,True,416,45,4,10,0.2048183
43,00:00,False,739,18,0,True,DJBDJJ+Verdana-Bold,False,439,58,5,10,-0.03775294
44,14сентября,False,804,18,6,True,DJBDJJ+Verdana-Bold,False,439,126,16,10,-0.34907815
45,2024,False,936,18,17,True,DJBDJJ+Verdana-Bold,False,439,51,21,10,-0.72016287
