,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
0,Маршрутная,False,15,56,0,True,FOHZVS+DejaVuSans-Bold,False,31,417,10,32,0.9333947
1,квитанция,False,15,56,0,True,FOHZVS+DejaVuSans-Bold,False,101,340,9,32,-0.8010629
2,ELECTRONIC,False,18,18,0,False,TJCZCD+DejaVuSans,True,164,114,10,10,0.13578817
3,TICKET,False,138,18,11,False,TJCZCD+DejaVuSans,True,164,62,17,10,0.33392555
4,/,False,206,18,18,False,TJCZCD+DejaVuSans,True,164,6,19,10,-0.14674962
5,ITINERARY,False,218,18,20,False,TJCZCD+DejaVuSans,True,164,92,29,10,-0.44551462
6,RECEIPT,False,316,18,30,False,TJCZCD+DejaVuSans,True,164,74,37,10,0.7050859
7,Данные,False,18,24,0,True,FOHZVS+DejaVuSans-Bold,False,216,108,6,13,-0.29986027
8,полета,False,135,24,7,True,FOHZVS+DejaVuSans-Bold,False,216,96,13,13,0.71589434
9,ПАССАЖИР,False,17,18,0,False,IAIXGR+DejaVuSans,True,270,106,8,10,-0.9001568
10,Kraev,False,17,18,0,True,RBVLTV+DejaVuSans-Bold,False,292,58,5,10,0.8613222
11,Alexey,False,82,18,6,True,RBVLTV+DejaVuSans-Bold,False,292,67,12,10,-0.4652366
12,НОМЕР,False,598,24,0,False,TJCZCD+DejaVuSans,True,55,87,5,13,0.10637748
13,ВАШЕГО,False,693,24,6,False,IAIXGR+DejaVuSans,True,55,107,12,13,-0.048410427
14,БИЛЕТА:,False,808,24,13,False,TJCZCD+DejaVuSans,True,55,106,20,13,0.626286
15,3532157775,False,598,24,0,True,RBVLTV+DejaVuSans-Bold,False,85,166,10,13,0.8162054
16,НОМЕР,False,598,24,0,False,TJCZCD+DejaVuSans,True,115,87,5,13,0.10637748
17,БРОНИРОВАНИЯ:,False,693,24,6,False,TJCZCD+DejaVuSans,True,115,212,19,13,-0.70978683
18,VB5A26,False,598,24,0,True,RBVLTV+DejaVuSans-Bold,False,145,105,6,13,-0.8330767
19,Информация,False,18,24,0,True,FOHZVS+DejaVuSans-Bold,False,340,179,10,13,0.7886325
20,о,False,206,24,11,True,FOHZVS+DejaVuSans-Bold,False,340,16,12,13,-0.6886629
21,маршруте,False,231,24,13,True,FOHZVS+DejaVuSans-Bold,False,340,141,21,13,-0.9100488
22,РЕЙСЫ,False,17,18,0,False,IAIXGR+DejaVuSans,True,394,64,5,10,0.7809893
23,Рейс,False,17,18,0,True,RBVLTV+DejaVuSans-Bold,False,416,48,4,10,-0.09979374
24,AB-53Эконом,False,72,18,5,False,IAIXGR+DejaVuSans,True,416,136,16,10,-0.3523431
25,САМОЛЕТ,False,17,18,0,False,IAIXGR+DejaVuSans,True,461,90,7,10,-0.63600755
26,Airbus,False,17,18,0,False,TJCZCD+DejaVuSans,True,484,56,6,10,-0.034279928
27,A007,False,80,18,7,False,TJCZCD+DejaVuSans,True,484,46,11,10,-0.4630201
28,БАГАЖ,False,17,18,0,False,IAIXGR+DejaVuSans,True,529,67,5,10,0.7199661
29,1место,False,17,18,0,False,IAIXGR+DejaVuSans,True,551,73,6,10,0.7274291
30,26,False,96,18,7,False,IAIXGR+DejaVuSans,True,551,22,9,10,-0.3904609
31,кг,False,125,18,10,False,IAIXGR+DejaVuSans,True,551,20,12,10,0.57011974
32,ВЫЛЕТ,False,302,18,0,False,IAIXGR+DejaVuSans,True,393,64,5,10,0.9740496
33,Якутск,False,302,18,0,False,IAIXGR+DejaVuSans,True,416,65,6,10,-0.67836565
34,10:35,False,302,18,0,True,RBVLTV+DejaVuSans-Bold,False,438,57,5,10,-0.82214797
35,16,False,365,18,6,True,RBVLTV+DejaVuSans-Bold,False,438,25,8,10,-0.4266608
