,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
0,Маршрутная,False,15,56,0,True,DHJEGC+DejaVuSans-Bold,False,31,417,10,32,0.9333947
1,квитанция,False,15,56,0,True,DHJEGC+DejaVuSans-Bold,False,101,340,9,32,-0.8010629
2,ELECTRONIC,False,18,18,0,False,RHDOBD+DejaVuSans,True,164,114,10,10,0.13578817
3,TICKET,False,138,18,11,False,RHDOBD+DejaVuSans,True,164,62,17,10,0.33392555
4,/,False,206,18,18,False,RHDOBD+DejaVuSans,True,164,6,19,10,-0.14674962
5,ITINERARY,False,218,18,20,False,RHDOBD+DejaVuSans,True,164,92,29,10,-0.44551462
6,RECEIPT,False,316,18,30,False,RHDOBD+DejaVuSans,True,164,74,37,10,0.7050859
7,Данные,False,18,24,0,True,DHJEGC+DejaVuSans-Bold,False,216,108,6,13,-0.29986027
8,полета,False,135,24,7,True,DHJEGC+DejaVuSans-Bold,False,216,96,13,13,0.71589434
9,ПАССАЖИР,False,17,18,0,False,OJRHLT+DejaVuSans,True,270,106,8,10,-0.9001568
10,Lovkov,False,17,18,0,True,AEJCHR+DejaVuSans-Bold,False,292,71,6,10,-0.8088631
11,Alex,False,95,18,7,True,AEJCHR+DejaVuSans-Bold,False,292,43,11,10,0.2922903
12,НОМЕРВАШЕГОБИЛЕТА:,False,598,24,0,False,RHDOBD+DejaVuSans,True,55,316,18,13,0.50149906
13,2453156831,False,598,24,0,True,AEJCHR+DejaVuSans-Bold,False,85,166,10,13,-0.34600192
14,НОМЕРБРОНИРОВАНИЯ:,False,598,24,0,False,RHDOBD+DejaVuSans,True,115,307,18,13,0.9707807
15,LB2B33,False,598,24,0,True,AEJCHR+DejaVuSans-Bold,False,145,101,6,13,0.78975534
16,Информация,False,18,24,0,True,DHJEGC+DejaVuSans-Bold,False,340,179,10,13,0.7886325
17,о,False,206,24,11,True,DHJEGC+DejaVuSans-Bold,False,340,16,12,13,-0.6886629
18,маршруте,False,231,24,13,True,DHJEGC+DejaVuSans-Bold,False,340,141,21,13,-0.9100488
19,РЕЙСЫ,False,17,18,0,False,OJRHLT+DejaVuSans,True,394,64,5,10,0.7809893
20,Рейс,False,17,18,0,True,AEJCHR+DejaVuSans-Bold,False,416,48,4,10,-0.09979374
21,LL-10Эконом,False,72,18,5,False,OJRHLT+DejaVuSans,True,416,131,16,10,-0.7702723
22,САМОЛЕТ,False,17,18,0,False,OJRHLT+DejaVuSans,True,461,90,7,10,-0.63600755
