,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
0,Маршрутная,False,20,52,0,False,GlyphLessFont,True,39,359,10,26,0.9333947
1,квитанция,False,19,52,0,False,GlyphLessFont,True,109,298,9,26,-0.8010629
2,ELECTRONIC,False,19,17,0,False,GlyphLessFont,True,165,102,10,8,0.13578817
3,TICKET,False,139,17,11,False,GlyphLessFont,True,165,56,17,8,0.33392555
4,/,False,210,17,18,False,GlyphLessFont,True,165,3,19,8,-0.14674962
5,ITINERARY,False,226,17,20,False,GlyphLessFont,True,165,86,29,8,-0.44551462
6,RECEIPT,False,331,17,30,False,GlyphLessFont,True,165,65,37,8,0.7050859
7,Данные,False,18,21,0,False,GlyphLessFont,True,218,91,6,10,-0.29986027
8,полета,False,136,21,7,False,GlyphLessFont,True,218,77,13,10,0.71589434
9,НОМЕР,False,593,24,0,False,GlyphLessFont,True,58,69,5,12,0.10637748
10,ВАШЕГО,False,686,24,6,False,GlyphLessFont,True,58,86,12,12,-0.048410427
11,БИЛЕТА:,False,799,24,13,False,GlyphLessFont,True,58,89,20,12,0.626286
12,1100110202,False,594,24,0,False,GlyphLessFont,True,87,148,10,12,0.7926405
13,НОМЕР,False,593,24,0,False,GlyphLessFont,True,117,69,5,12,0.10637748
14,БРОНИРОВАНИЯ:,False,686,24,6,False,GlyphLessFont,True,117,192,19,12,-0.70978683
15,PY7Y29,False,593,24,0,False,GlyphLessFont,True,146,84,6,12,-0.35282058
16,ПАССАЖИР,False,19,18,0,False,GlyphLessFont,True,268,90,8,9,-0.9001568
17,ПАСПОРТ,False,301,18,9,False,GlyphLessFont,True,268,74,16,9,-0.3917645
18,Dergunova,False,18,17,0,False,GlyphLessFont,True,291,95,9,8,-0.45830083
19,Polina,False,134,17,10,False,GlyphLessFont,True,291,50,16,8,0.28615323
20,2500,False,301,17,17,False,GlyphLessFont,True,291,38,21,8,-0.9769135
21,241920,False,358,17,22,False,GlyphLessFont,True,291,62,28,8,0.017488549
22,Информация,False,20,22,0,False,GlyphLessFont,True,339,158,10,11,0.7886325
23,o,False,206,22,11,False,GlyphLessFont,True,339,7,12,11,-0.11878817
24,маршруте,False,231,22,13,False,GlyphLessFont,True,339,118,21,11,-0.9100488
25,РЕЙСЫ,False,19,20,0,False,GlyphLessFont,True,390,50,5,10,0.7809893
26,ВЫЛЕТ,False,300,20,6,False,GlyphLessFont,True,390,51,11,10,0.9740496
27,Рейс,False,18,17,0,False,GlyphLessFont,True,414,36,4,8,-0.09979374
28,LB-12,False,73,17,5,False,GlyphLessFont,True,414,46,10,8,0.47483364
29,Бизнес,False,138,17,11,False,GlyphLessFont,True,414,53,17,8,0.2639433
30,Казань,False,300,17,18,False,GlyphLessFont,True,414,52,24,8,0.75548136
31,22:00,False,299,17,0,False,GlyphLessFont,True,435,46,5,8,-0.1862823
32,12,False,364,17,6,False,GlyphLessFont,True,435,14,8,8,0.14370357
33,марта,False,395,17,9,False,GlyphLessFont,True,435,47,14,8,0.5948488
34,2026,False,461,17,15,False,GlyphLessFont,True,435,38,19,8,0.10648446
35,САМОЛЕТ,False,18,16,0,False,GlyphLessFont,True,458,77,7,8,-0.63600755
36,а/п,False,299,16,8,False,GlyphLessFont,True,458,20,11,8,0.5650457
37,Казань,False,336,16,12,False,GlyphLessFont,True,458,53,18,8,0.75548136
38,KZN,False,406,16,19,False,GlyphLessFont,True,458,25,22,8,-0.6188308
39,Airbus,False,17,18,0,False,GlyphLessFont,True,479,47,6,9,-0.034279928
40,АО11,False,80,18,7,False,GlyphLessFont,True,479,34,11,9,0.5119841
41,Терминал,False,298,18,12,False,GlyphLessFont,True,479,77,20,9,0.0582532
42,6,False,395,18,21,False,GlyphLessFont,True,479,4,22,9,0.40654507
43,БАГАЖ,False,19,17,0,False,GlyphLessFont,True,525,51,5,8,0.7199661
44,1,False,19,16,0,False,GlyphLessFont,True,547,3,1,8,0.6895094
45,место,False,36,16,2,False,GlyphLessFont,True,547,41,7,8,-0.3450517
46,26,False,94,16,8,False,GlyphLessFont,True,547,13,10,8,-0.3904609
47,кг,False,123,16,11,False,GlyphLessFont,True,547,11,13,8,0.57011974
48,В,False,585,18,0,False,GlyphLessFont,True,391,4,1,9,0.12523735
49,ПУТИ,False,603,18,2,False,GlyphLessFont,True,391,36,6,9,1.0211966
50,ПРИБЫТИЕ,False,731,18,7,False,GlyphLessFont,True,391,88,15,9,-0.31172508
51,Нальчик,False,731,16,0,False,GlyphLessFont,True,415,66,7,8,-0.83422726
52,—,False,540,17,0,False,GlyphLessFont,True,435,14,1,8,0.58697814
53,-,False,564,17,2,False,GlyphLessFont,True,435,5,3,8,-0.9103532
54,2ч,False,584,17,4,False,GlyphLessFont,True,435,17,6,8,-0.40368694
55,2,False,619,17,7,False,GlyphLessFont,True,435,4,8,8,-0.22257006
56,мин,False,636,17,9,False,GlyphLessFont,True,435,24,12,8,-0.69017977
57,—>,False,698,17,13,False,GlyphLessFont,True,435,16,15,8,-0.3694805
58,00:00,False,730,17,16,False,GlyphLessFont,True,435,46,21,8,-0.03775294
59,13,False,795,17,22,False,GlyphLessFont,True,435,14,24,8,0.32415462
60,марта,False,826,17,25,False,GlyphLessFont,True,435,48,30,8,0.5948488
61,2026,False,892,17,31,False,GlyphLessFont,True,435,38,35,8,0.10648446
62,а/п,False,730,16,0,False,GlyphLessFont,True,459,20,3,8,0.5650457
63,Нальчик,False,767,16,4,False,GlyphLessFont,True,459,66,11,8,-0.83422726
64,№,False,851,16,12,False,GlyphLessFont,True,459,16,13,8,0.5367862
65,К,False,873,16,14,False,GlyphLessFont,True,459,6,15,8,-0.5600072
66,Терминал,False,729,17,0,False,GlyphLessFont,True,480,77,8,8,0.0582532
67,3,False,826,17,9,False,GlyphLessFont,True,480,9,10,8,-0.93154186
