,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
0,Маршрутная,False,15,56,0,False,8,True,31,409,10,34,0.9333947
1,квитанция,False,15,56,0,False,8,True,102,345,9,34,-0.8010629
2,ELECTRONIC,False,18,18,0,False,SLQXAL+Verdana,True,164,116,10,10,0.13578817
3,TICKET,False,141,18,11,False,SLQXAL+Verdana,True,164,66,17,10,0.33392555
4,/,False,213,18,18,False,SLQXAL+Verdana,True,164,8,19,10,-0.14674962
5,ITINERARY,False,228,18,20,False,SLQXAL+Verdana,True,164,99,29,10,-0.44551462
6,RECEIPT,False,333,18,30,False,SLQXAL+Verdana,True,164,77,37,10,0.7050859
7,Данныеполета,False,18,24,0,False,8,True,216,212,12,14,0.54160404
8,ПАССАЖИР,False,17,18,0,False,:9?*:*+Verdana,True,270,105,8,10,-0.9001568
9,Sergeev,False,17,18,0,True,GXAYXO+Verdana-Bold,False,292,81,7,10,-0.4178093
10,Sergei,False,105,18,8,True,GXAYXO+Verdana-Bold,False,292,64,14,10,-0.04040928
11,НОМЕР,False,598,24,0,False,SLQXAL+Verdana,True,55,86,5,14,0.10637748
12,ВАШЕГО,False,693,24,6,False,:9?*:*+Verdana,True,55,105,12,14,-0.048410427
13,БИЛЕТА:,False,807,24,13,False,SLQXAL+Verdana,True,55,109,20,14,0.626286
14,6531457432,False,598,24,0,True,GXAYXO+Verdana-Bold,False,85,170,10,14,-0.5562482
15,НОМЕР,False,598,24,0,False,SLQXAL+Verdana,True,115,86,5,14,0.10637748
16,БРОНИРОВАНИЯ:,False,693,24,6,False,SLQXAL+Verdana,True,115,215,19,14,-0.70978683
17,KT5D12,False,598,24,0,True,GXAYXO+Verdana-Bold,False,145,105,6,14,0.40069535
18,Информацияомаршруте,False,18,24,0,False,8,True,340,351,19,14,0.9973667
19,РЕЙСЫ,False,17,18,0,False,:9?*:*+Verdana,True,394,64,5,10,0.7809893
20,Рейс,False,17,18,0,True,GXAYXO+Verdana-Bold,False,416,48,4,10,-0.09979374
21,PR-102,False,72,18,5,False,:9?*:*+Verdana,True,416,74,11,10,-0.59974235
22,Бизнес,False,153,18,12,False,:9?*:*+Verdana,True,416,65,18,10,0.2639433
23,САМОЛЕТ,False,17,18,0,False,:9?*:*+Verdana,True,461,89,7,10,-0.63600755
24,Airdus,False,17,18,0,False,SLQXAL+Verdana,True,484,56,6,10,0.71260595
25,B107,False,80,18,7,False,SLQXAL+Verdana,True,484,46,11,10,-0.81546366
26,БАГАЖ,False,17,18,0,False,:9?*:*+Verdana,True,529,64,5,10,0.7199661
27,1,False,17,18,0,False,:9?*:*+Verdana,True,551,11,1,10,0.6895094
28,место,False,35,18,2,False,SLQXAL+Verdana,True,551,52,7,10,-0.3450517
29,46,False,94,18,8,False,:9?*:*+Verdana,True,551,22,10,10,-0.017337069
30,кг,False,123,18,11,False,:9?*:*+Verdana,True,551,19,13,10,0.57011974
31,ВЫЛЕТ,False,302,18,0,False,:9?*:*+Verdana,True,393,64,5,10,0.9740496
32,Иркутск,False,302,18,0,False,8,True,416,84,7,10,-0.37899145
33,12:00,False,302,18,0,True,GXAYXO+Verdana-Bold,False,438,58,5,10,0.9817699
34,13октября,False,366,18,6,True,GXAYXO+Verdana-Bold,False,438,115,15,10,0.90702355
35,2022,False,488,18,16,True,GXAYXO+Verdana-Bold,False,438,51,20,10,-0.78496265
36,а/п,False,302,18,0,False,SLQXAL+Verdana,True,461,30,3,10,0.5650457
37,Иркутск,False,339,18,4,False,SLQXAL+Verdana,True,461,75,11,10,-0.37899145
38,IKT,False,420,18,12,False,SLQXAL+Verdana,True,461,31,15,10,0.06410162
39,Терминал,False,302,18,0,False,SLQXAL+Verdana,True,483,90,8,10,0.0582532
40,1,False,399,18,9,False,SLQXAL+Verdana,True,483,11,10,10,0.6895094
41,ПРИБЫТИЕ,False,739,18,0,False,:9?*:*+Verdana,True,394,102,8,10,-0.31172508
42,Москва,False,739,18,0,False,8,True,416,76,6,10,0.12803932
43,15:35,False,739,18,0,True,GXAYXO+Verdana-Bold,False,439,58,5,10,0.529709
44,13октября,False,804,18,6,True,GXAYXO+Verdana-Bold,False,439,115,15,10,0.90702355
45,2022,False,925,18,16,True,GXAYXO+Verdana-Bold,False,439,51,20,10,-0.78496265
46,а/п,False,739,18,0,False,SLQXAL+Verdana,True,461,30,3,10,0.5650457
47,Москва,False,776,18,4,False,SLQXAL+Verdana,True,461,67,10,10,0.12803932
48,MSW,False,850,18,11,False,SLQXAL+Verdana,True,461,45,14,10,0.041992635
49,Терминал,False,739,18,0,False,SLQXAL+Verdana,True,484,90,8,10,0.0582532
50,B,False,836,18,9,False,SLQXAL+Verdana,True,484,12,10,10,0.019876193
51,В,False,592,18,0,False,:9?*:*+Verdana,True,393,12,1,10,0.12523735
52,ПУТИ,False,611,18,2,False,:9?*:*+Verdana,True,393,49,6,10,1.0211966
53,5,False,592,18,0,False,:9?*:*+Verdana,True,438,11,1,10,0.49688056
54,ч,False,610,18,2,False,SLQXAL+Verdana,True,438,10,3,10,-0.56423056
55,35,False,627,18,4,False,:9?*:*+Verdana,True,438,22,6,10,0.114529744
56,мин,False,656,18,7,False,:9?*:*+Verdana,True,438,35,10,10,-0.69017977
57,ПАСПОРТ,False,303,18,0,False,:9?*:*+Verdana,True,269,88,7,10,-0.3917645
58,3321,False,303,18,0,True,GXAYXO+Verdana-Bold,False,292,51,4,10,-0.8468641
59,355321,False,361,18,5,True,GXAYXO+Verdana-Bold,False,292,76,11,10,0.5336917
