,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
0,Маршрутная,False,20,52,0,False,GlyphLessFont,True,39,359,10,26,0.9333947
1,квитанция,False,19,52,0,False,GlyphLessFont,True,109,298,9,26,-0.8010629
2,ELECTRONIC,False,19,17,0,False,GlyphLessFont,True,165,102,10,8,0.13578817
3,TICKET,False,139,17,11,False,GlyphLessFont,True,165,56,17,8,0.33392555
4,/,False,210,17,18,False,GlyphLessFont,True,165,3,19,8,-0.14674962
5,ITINERARY,False,226,17,20,False,GlyphLessFont,True,165,86,29,8,-0.44551462
6,RECEIPT,False,331,17,30,False,GlyphLessFont,True,165,65,37,8,0.7050859
7,Данные,False,18,21,0,False,GlyphLessFont,True,218,91,6,10,-0.29986027
8,полета,False,136,21,7,False,GlyphLessFont,True,218,77,13,10,0.71589434
9,НОМЕР,False,593,24,0,False,GlyphLessFont,True,58,69,5,12,0.10637748
10,ВАШЕГО,False,686,24,6,False,GlyphLessFont,True,58,86,12,12,-0.048410427
11,БИЛЕТА:,False,799,24,13,False,GlyphLessFont,True,58,89,20,12,0.626286
12,4222142163,False,591,24,0,False,GlyphLessFont,True,87,150,10,12,0.5910929
13,НОМЕР,False,593,24,0,False,GlyphLessFont,True,117,69,5,12,0.10637748
14,БРОНИРОВАНИЯ:,False,686,24,6,False,GlyphLessFont,True,117,192,19,12,-0.70978683
15,ВЕЗС21,False,593,24,0,False,GlyphLessFont,True,146,83,6,12,0.76531386
16,ПАССАЖИР,False,19,16,0,False,GlyphLessFont,True,269,90,8,8,-0.9001568
17,ПАСПОРТ,False,301,16,9,False,GlyphLessFont,True,269,74,16,8,-0.3917645
18,Uvarova,False,18,16,0,False,GlyphLessFont,True,292,69,7,8,0.12888925
19,Irina,False,107,16,8,False,GlyphLessFont,True,292,38,13,8,0.62501353
20,2021,False,301,16,14,False,GlyphLessFont,True,292,37,18,8,0.053663105
21,421242,False,357,16,19,False,GlyphLessFont,True,292,63,25,8,0.9430866
22,Информация,False,20,22,0,False,GlyphLessFont,True,339,158,10,11,0.7886325
23,o,False,206,22,11,False,GlyphLessFont,True,339,7,12,11,-0.11878817
24,маршруте,False,231,22,13,False,GlyphLessFont,True,339,118,21,11,-0.9100488
25,РЕЙСЫ,False,19,21,0,False,GlyphLessFont,True,389,50,5,10,0.7809893
26,ВЫЛЕТ,False,300,21,6,False,GlyphLessFont,True,389,51,11,10,0.9740496
27,Рейс,False,18,18,0,False,GlyphLessFont,True,413,36,4,9,-0.09979374
28,AS-05,False,72,18,5,False,GlyphLessFont,True,413,49,10,9,0.809356
29,Эконом,False,139,18,11,False,GlyphLessFont,True,413,56,17,9,0.057060227
30,Волгоград,False,300,18,18,False,GlyphLessFont,True,413,82,27,9,-0.31897452
31,11:10,False,300,17,0,False,GlyphLessFont,True,435,45,5,8,-0.5861866
32,15,False,364,17,6,False,GlyphLessFont,True,435,14,8,8,-0.82283527
33,мая,False,395,17,9,False,GlyphLessFont,True,435,26,12,8,-0.11710626
34,2023,False,440,17,13,False,GlyphLessFont,True,435,37,17,8,-0.43338433
35,САМОЛЕТ,False,18,17,0,False,GlyphLessFont,True,458,77,7,8,-0.63600755
36,а/п,False,299,17,8,False,GlyphLessFont,True,458,20,11,8,0.5650457
37,Волгоград,False,336,17,12,False,GlyphLessFont,True,458,82,21,8,-0.31897452
38,VLD,False,435,17,22,False,GlyphLessFont,True,458,25,25,8,0.7674586
39,Airbus,False,18,18,0,False,GlyphLessFont,True,479,47,6,9,-0.034279928
40,A103,False,80,18,7,False,GlyphLessFont,True,479,35,11,9,0.10591352
41,Терминал,False,298,18,12,False,GlyphLessFont,True,479,77,20,9,0.0582532
42,А,False,394,18,21,False,GlyphLessFont,True,479,5,22,9,0.95473903
43,БАГАЖ,False,19,18,0,False,GlyphLessFont,True,524,51,5,9,0.7199661
44,1,False,19,16,0,False,GlyphLessFont,True,547,3,1,8,0.6895094
45,место,False,36,16,2,False,GlyphLessFont,True,547,41,7,8,-0.3450517
46,26,False,94,16,8,False,GlyphLessFont,True,547,13,10,8,-0.3904609
47,кг,False,123,16,11,False,GlyphLessFont,True,547,11,13,8,0.57011974
48,В,False,585,18,0,False,GlyphLessFont,True,391,4,1,9,0.12523735
49,ПУТИ,False,603,18,2,False,GlyphLessFont,True,391,36,6,9,1.0211966
50,ПРИБЫТИЕ,False,731,18,7,False,GlyphLessFont,True,391,88,15,9,-0.31172508
51,Майами,False,731,16,0,False,GlyphLessFont,True,415,58,6,8,0.8767904
52,—,False,540,16,0,False,GlyphLessFont,True,436,14,1,8,0.58697814
53,2ч,False,584,16,2,False,GlyphLessFont,True,436,17,4,8,-0.40368694
54,30,False,619,16,5,False,GlyphLessFont,True,436,13,7,8,-0.2871972
55,мин,False,648,16,8,False,GlyphLessFont,True,436,24,11,8,-0.69017977
56,—>,False,698,16,12,False,GlyphLessFont,True,436,16,14,8,-0.3694805
57,18:40,False,731,16,15,False,GlyphLessFont,True,436,45,20,8,-0.4406583
58,23,False,795,16,21,False,GlyphLessFont,True,436,14,23,8,0.5339942
59,мая,False,826,16,24,False,GlyphLessFont,True,436,27,27,8,-0.11710626
60,2023,False,871,16,28,False,GlyphLessFont,True,436,38,32,8,-0.43338433
61,а/п,False,730,16,0,False,GlyphLessFont,True,459,20,3,8,0.5650457
62,Майами,False,767,16,4,False,GlyphLessFont,True,459,58,10,8,0.8767904
63,MYA,False,845,16,11,False,GlyphLessFont,True,459,26,14,8,-0.0721616
64,Терминал,False,729,16,0,False,GlyphLessFont,True,481,77,8,8,0.0582532
65,В,False,827,16,9,False,GlyphLessFont,True,481,9,10,8,0.12523735
